country_id,factor_id,year,reference_period,geography_version,public_geography_type,public_geography_id,municipality,refnis_label_french,refnis_label_dutch,refnis_label_german,population,area_km2,value,unit,source_name,provenance_ref,comparability_status
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,11053,Wuustwezel,Wuustwezel,Wuustwezel,Wuustwezel,21941,89.410502,245.3962,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,11054,Zandhoven,Zandhoven,Zandhoven,Zandhoven,13423,40.098437,334.7512,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,11055,Zoersel,Zoersel,Zoersel,Zoersel,22770,38.684908,588.6016,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,11057,Malle,Malle,Malle,Malle,16248,51.901557,313.0542,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,12002,Berlaar,Berlaar,Berlaar,Berlaar,12115,24.525953,493.9665,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,12005,Bonheiden,Bonheiden,Bonheiden,Bonheiden,15641,29.190868,535.8183,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,12007,Bornem,Bornem,Bornem,Bornem,22232,46.187102,481.3465,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,12009,Duffel,Duffel,Duffel,Duffel,18100,22.59818,800.9495,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,12014,Heist-op-den-Berg,Heist-op-den-Berg,Heist-op-den-Berg,Heist-op-den-Berg,44723,86.672632,515.9991,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,12021,Lierre,Lierre,Lier,Lier,38517,49.852894,772.6131,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,12025,Malines,Malines,Mechelen,Mechelen,89655,65.78746,1362.7977,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,12026,Nijlen,Nijlen,Nijlen,Nijlen,23747,39.195345,605.8628,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,12029,Putte,Putte,Putte,Putte,19091,35.157928,543.007,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,12035,Sint-Katelijne-Waver,Sint-Katelijne-Waver,Sint-Katelijne-Waver,Sint-Katelijne-Waver,21917,36.155348,606.1897,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,12040,Willebroek,Willebroek,Willebroek,Willebroek,28620,27.365927,1045.8261,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,12041,Puurs-Sint-Amands,Puurs-Sint-Amands,Puurs-Sint-Amands,Puurs-Sint-Amands,27066,49.137455,550.8222,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,13001,Arendonk,Arendonk,Arendonk,Arendonk,13323,55.151908,241.5692,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,13002,Baerle-Duc,Baerle-Duc,Baarle-Hertog,Baarle-Hertog,3083,7.414242,415.8213,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,13003,Balen,Balen,Balen,Balen,23777,72.987728,325.7671,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,13004,Beerse,Beerse,Beerse,Beerse,18710,37.35966,500.8076,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,13006,Dessel,Dessel,Dessel,Dessel,10076,27.446626,367.1125,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,13008,Geel,Geel,Geel,Geel,42427,110.208724,384.9695,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,13010,Grobbendonk,Grobbendonk,Grobbendonk,Grobbendonk,11609,28.368628,409.2196,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,13011,Herentals,Herentals,Herentals,Herentals,29001,47.947543,604.8485,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,13012,Herenthout,Herenthout,Herenthout,Herenthout,9504,23.607938,402.5765,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,13013,Herselt,Herselt,Herselt,Herselt,14829,52.371724,283.149,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,13014,Hoogstraten,Hoogstraten,Hoogstraten,Hoogstraten,22403,105.394838,212.5626,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,13016,Hulshout,Hulshout,Hulshout,Hulshout,10634,17.378881,611.8921,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,13017,Kasterlee,Kasterlee,Kasterlee,Kasterlee,19802,72.269409,274.0025,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,13019,Lille,Lille,Lille,Lille,17130,59.619267,287.3232,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,13021,Meerhout,Meerhout,Meerhout,Meerhout,10377,36.539249,283.996,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,13023,Merksplas,Merksplas,Merksplas,Merksplas,8921,44.599638,200.024,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,13025,Mol,Mol,Mol,Mol,38701,114.545434,337.8659,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,13029,Olen,Olen,Olen,Olen,12915,23.128298,558.4068,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,13031,Oud-Turnhout,Oud-Turnhout,Oud-Turnhout,Oud-Turnhout,15045,39.169392,384.1009,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,13035,Ravels,Ravels,Ravels,Ravels,15712,95.134302,165.156,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,13036,Retie,Retie,Retie,Retie,11995,48.499576,247.3217,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,13037,Rijkevorsel,Rijkevorsel,Rijkevorsel,Rijkevorsel,12560,46.843927,268.1244,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,13040,Turnhout,Turnhout,Turnhout,Turnhout,47965,56.711376,845.7739,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,13044,Vorselaar,Vorselaar,Vorselaar,Vorselaar,8079,27.623449,292.4689,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,13046,Vosselaar,Vosselaar,Vosselaar,Vosselaar,11816,11.832645,998.5933,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,13049,Westerlo,Westerlo,Westerlo,Westerlo,25691,55.448571,463.3302,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,13053,Laakdal,Laakdal,Laakdal,Laakdal,16935,42.429379,399.1338,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,21001,Anderlecht,Anderlecht,Anderlecht,Anderlecht,128724,17.914,7185.6648,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,21002,Auderghem,Auderghem,Oudergem,Auderghem,35698,8.965764,3981.5904,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,21003,Berchem-Sainte-Agathe,Berchem-Sainte-Agathe,Sint-Agatha-Berchem,Berchem-Sainte-Agathe,25803,2.95008,8746.5425,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,21004,Bruxelles,Bruxelles,Brussel,Brüssel,198314,33.086467,5993.8101,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
belgium,population_density,2025,2025-01-01,statbel-refnis-2025,municipality,21005,Etterbeek,Etterbeek,Etterbeek,Etterbeek,49131,3.174197,15478.2454,people-per-km2,Statbel Densite de la population en Belgique au 1er janvier,provenance/belgium_population_density_manifest.json,country_local
