factor_candidate,view_id,view_name,raw_path,sha256,raw_facts,years,columns,geography_columns,municipality_like_rows,candidate_status,promotion_blocker
population,583da0e9-7cbb-4063-bdcd-1070fd1522f9,Total population,../data/politics/belgium/factors/raw/statbel-bestat-census-2021-standard-views/total-population.json,f529ebc0230989378af92c46131661cc9a5f505040d2b656b0d7906de7482a51,30,2011;2021,Administrative District;Belgium;Province;Region;Total population;Year,Administrative District;Belgium;Province;Region,0,blocked_standard_view_not_municipality_level,standard be.STAT view is aggregated to Belgium/region/province/administrative-district columns and exposes no NIS/REFNIS municipality code
population_density,f6a7d3b2-2ce6-430b-9dcd-bc7496d69d46,Population density,../data/politics/belgium/factors/raw/statbel-bestat-census-2021-standard-views/population-density.json,1f7395aba3ad2ad326cc4d84297a573bad738d623b3a68850e35c0904ac50a52,30,2011;2021,Administrative District;Belgium;Population density;Province;Region;Year,Administrative District;Belgium;Province;Region,0,blocked_standard_view_not_municipality_level,standard be.STAT view is aggregated to Belgium/region/province/administrative-district columns and exposes no NIS/REFNIS municipality code
age65,5169f31c-5706-4773-b89f-7cde05d3fe83,Population 65 years and over,../data/politics/belgium/factors/raw/statbel-bestat-census-2021-standard-views/population-65-plus.json,b92ef4542a85f545948841fcd0e2f22e11406ec1ef7b0ea14c0da87205105f72,30,2011;2021,Administrative District;Belgium;Population 65 years and over;Province;Region;Year,Administrative District;Belgium;Province;Region,0,blocked_standard_view_not_municipality_level,standard be.STAT view is aggregated to Belgium/region/province/administrative-district columns and exposes no NIS/REFNIS municipality code
