country_id,factor_id,year,reference_period,geography_version,public_geography_type,public_geography_id,municipality,refnis_label_french,refnis_label_dutch,refnis_label_german,population,age65_population,value,unit,source_name,provenance_ref,comparability_status
belgium,age65,2026,2026-01-01,statbel-refnis-2026-source,municipality,11053,Wuustwezel,Wuustwezel,Wuustwezel,Wuustwezel,21902,4836,22.080175,percent,Statbel TF_SOC_POP_STRUCT_2026 social population structure,provenance/belgium_age65_manifest.json,family_mapped
belgium,age65,2026,2026-01-01,statbel-refnis-2026-source,municipality,11054,Zandhoven,Zandhoven,Zandhoven,Zandhoven,13529,3662,27.06778,percent,Statbel TF_SOC_POP_STRUCT_2026 social population structure,provenance/belgium_age65_manifest.json,family_mapped
belgium,age65,2026,2026-01-01,statbel-refnis-2026-source,municipality,11055,Zoersel,Zoersel,Zoersel,Zoersel,23223,6378,27.464152,percent,Statbel TF_SOC_POP_STRUCT_2026 social population structure,provenance/belgium_age65_manifest.json,family_mapped
belgium,age65,2026,2026-01-01,statbel-refnis-2026-source,municipality,11057,Malle,Malle,Malle,Malle,16256,3877,23.849656,percent,Statbel TF_SOC_POP_STRUCT_2026 social population structure,provenance/belgium_age65_manifest.json,family_mapped
belgium,age65,2026,2026-01-01,statbel-refnis-2026-source,municipality,12002,Berlaar,Berlaar,Berlaar,Berlaar,12151,2909,23.940416,percent,Statbel TF_SOC_POP_STRUCT_2026 social population structure,provenance/belgium_age65_manifest.json,family_mapped
belgium,age65,2026,2026-01-01,statbel-refnis-2026-source,municipality,12005,Bonheiden,Bonheiden,Bonheiden,Bonheiden,15705,4083,25.99809,percent,Statbel TF_SOC_POP_STRUCT_2026 social population structure,provenance/belgium_age65_manifest.json,family_mapped
belgium,age65,2026,2026-01-01,statbel-refnis-2026-source,municipality,12007,Bornem,Bornem,Bornem,Bornem,22333,5563,24.909327,percent,Statbel TF_SOC_POP_STRUCT_2026 social population structure,provenance/belgium_age65_manifest.json,family_mapped
belgium,age65,2026,2026-01-01,statbel-refnis-2026-source,municipality,12009,Duffel,Duffel,Duffel,Duffel,18203,4066,22.336977,percent,Statbel TF_SOC_POP_STRUCT_2026 social population structure,provenance/belgium_age65_manifest.json,family_mapped
belgium,age65,2026,2026-01-01,statbel-refnis-2026-source,municipality,12014,Heist-op-den-Berg,Heist-op-den-Berg,Heist-op-den-Berg,Heist-op-den-Berg,44991,10960,24.360428,percent,Statbel TF_SOC_POP_STRUCT_2026 social population structure,provenance/belgium_age65_manifest.json,family_mapped
belgium,age65,2026,2026-01-01,statbel-refnis-2026-source,municipality,12021,Lierre,Lierre,Lier,Lier,38747,8795,22.698531,percent,Statbel TF_SOC_POP_STRUCT_2026 social population structure,provenance/belgium_age65_manifest.json,family_mapped
belgium,age65,2026,2026-01-01,statbel-refnis-2026-source,municipality,12025,Malines,Malines,Mechelen,Mechelen,90355,16532,18.296718,percent,Statbel TF_SOC_POP_STRUCT_2026 social population structure,provenance/belgium_age65_manifest.json,family_mapped
belgium,age65,2026,2026-01-01,statbel-refnis-2026-source,municipality,12026,Nijlen,Nijlen,Nijlen,Nijlen,23881,5482,22.955488,percent,Statbel TF_SOC_POP_STRUCT_2026 social population structure,provenance/belgium_age65_manifest.json,family_mapped
belgium,age65,2026,2026-01-01,statbel-refnis-2026-source,municipality,12029,Putte,Putte,Putte,Putte,19203,4635,24.136854,percent,Statbel TF_SOC_POP_STRUCT_2026 social population structure,provenance/belgium_age65_manifest.json,family_mapped
belgium,age65,2026,2026-01-01,statbel-refnis-2026-source,municipality,12035,Sint-Katelijne-Waver,Sint-Katelijne-Waver,Sint-Katelijne-Waver,Sint-Katelijne-Waver,21937,4975,22.67858,percent,Statbel TF_SOC_POP_STRUCT_2026 social population structure,provenance/belgium_age65_manifest.json,family_mapped
belgium,age65,2026,2026-01-01,statbel-refnis-2026-source,municipality,12040,Willebroek,Willebroek,Willebroek,Willebroek,28923,5281,18.258825,percent,Statbel TF_SOC_POP_STRUCT_2026 social population structure,provenance/belgium_age65_manifest.json,family_mapped
belgium,age65,2026,2026-01-01,statbel-refnis-2026-source,municipality,12041,Puurs-Sint-Amands,Puurs-Sint-Amands,Puurs-Sint-Amands,Puurs-Sint-Amands,27389,6155,22.472525,percent,Statbel TF_SOC_POP_STRUCT_2026 social population structure,provenance/belgium_age65_manifest.json,family_mapped
belgium,age65,2026,2026-01-01,statbel-refnis-2026-source,municipality,13001,Arendonk,Arendonk,Arendonk,Arendonk,13426,2961,22.054223,percent,Statbel TF_SOC_POP_STRUCT_2026 social population structure,provenance/belgium_age65_manifest.json,family_mapped
belgium,age65,2026,2026-01-01,statbel-refnis-2026-source,municipality,13002,Baerle-Duc,Baerle-Duc,Baarle-Hertog,Baarle-Hertog,3103,661,21.301966,percent,Statbel TF_SOC_POP_STRUCT_2026 social population structure,provenance/belgium_age65_manifest.json,family_mapped
belgium,age65,2026,2026-01-01,statbel-refnis-2026-source,municipality,13003,Balen,Balen,Balen,Balen,23916,5130,21.450075,percent,Statbel TF_SOC_POP_STRUCT_2026 social population structure,provenance/belgium_age65_manifest.json,family_mapped
belgium,age65,2026,2026-01-01,statbel-refnis-2026-source,municipality,13004,Beerse,Beerse,Beerse,Beerse,18780,4012,21.363152,percent,Statbel TF_SOC_POP_STRUCT_2026 social population structure,provenance/belgium_age65_manifest.json,family_mapped
belgium,age65,2026,2026-01-01,statbel-refnis-2026-source,municipality,13006,Dessel,Dessel,Dessel,Dessel,10191,2203,21.617113,percent,Statbel TF_SOC_POP_STRUCT_2026 social population structure,provenance/belgium_age65_manifest.json,family_mapped
