election_year,election_date,public_geography_id,ibz_municipality,ibz_label_french,ibz_label_dutch,ibz_label_german,refnis_match,refnis_code,refnis_parent_code,refnis_label_french,refnis_label_dutch,refnis_label_german,refnis_validity_start,refnis_validity_end,special_bucket,vote_sum_reconciles,bridge_safe_for_first_app_layer,reconciliation_status,method_note
2024,2024-06-09,11052,Wommelgem,Wommelgem,Wommelgem,Wommelgem,true,11052,11000,Wommelgem,Wommelgem,Wommelgem,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,11053,Wuustwezel,Wuustwezel,Wuustwezel,Wuustwezel,true,11053,11000,Wuustwezel,Wuustwezel,Wuustwezel,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,11054,Zandhoven,Zandhoven,Zandhoven,Zandhoven,true,11054,11000,Zandhoven,Zandhoven,Zandhoven,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,11055,Zoersel,Zoersel,Zoersel,Zoersel,true,11055,11000,Zoersel,Zoersel,Zoersel,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,11056,Zwijndrecht,Zwijndrecht,Zwijndrecht,Zwijndrecht,true,11056,11000,Zwijndrecht,Zwijndrecht,Zwijndrecht,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,11057,Malle,Malle,Malle,Malle,true,11057,11000,Malle,Malle,Malle,01/01/1980,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,12002,Berlaar,Berlaar,Berlaar,Berlaar,true,12002,12000,Berlaar,Berlaar,Berlaar,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,12005,Bonheiden,Bonheiden,Bonheiden,Bonheiden,true,12005,12000,Bonheiden,Bonheiden,Bonheiden,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,12007,Bornem,Bornem,Bornem,Bornem,true,12007,12000,Bornem,Bornem,Bornem,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,12009,Duffel,Duffel,Duffel,Duffel,true,12009,12000,Duffel,Duffel,Duffel,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,12014,Heist-op-den-Berg,Heist-op-den-Berg,Heist-op-den-Berg,Heist-op-den-Berg,true,12014,12000,Heist-op-den-Berg,Heist-op-den-Berg,Heist-op-den-Berg,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,12021,Lier,Lierre,Lier,Lier,true,12021,12000,Lierre,Lier,Lier,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,12025,Mechelen,Malines,Mechelen,Mecheln,true,12025,12000,Malines,Mechelen,Mechelen,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,12026,Nijlen,Nijlen,Nijlen,Nijlen,true,12026,12000,Nijlen,Nijlen,Nijlen,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,12029,Putte,Putte,Putte,Putte,true,12029,12000,Putte,Putte,Putte,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,12035,Sint-Katelijne-Waver,Sint-Katelijne-Waver,Sint-Katelijne-Waver,Sint-Katelijne-Waver,true,12035,12000,Sint-Katelijne-Waver,Sint-Katelijne-Waver,Sint-Katelijne-Waver,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,12040,Willebroek,Willebroek,Willebroek,Willebroek,true,12040,12000,Willebroek,Willebroek,Willebroek,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,12041,Puurs-Saint-Amands,Puurs-Saint-Amands,Puurs-Sint-Amands,Puurs-Saint-Amands,true,12041,12000,Puurs-Sint-Amands,Puurs-Sint-Amands,Puurs-Sint-Amands,01/01/2019,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,13001,Arendonk,Arendonk,Arendonk,Arendonk,true,13001,13000,Arendonk,Arendonk,Arendonk,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,13002,Baarle-Hertog,Baerle-Duc,Baarle-Hertog,Baarle-Hertog,true,13002,13000,Baerle-Duc,Baarle-Hertog,Baarle-Hertog,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,13003,Balen,Balen,Balen,Balen,true,13003,13000,Balen,Balen,Balen,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,13004,Beerse,Beerse,Beerse,Beerse,true,13004,13000,Beerse,Beerse,Beerse,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,13006,Dessel,Dessel,Dessel,Dessel,true,13006,13000,Dessel,Dessel,Dessel,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,13008,Geel,Geel,Geel,Geel,true,13008,13000,Geel,Geel,Geel,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,13010,Grobbendonk,Grobbendonk,Grobbendonk,Grobbendonk,true,13010,13000,Grobbendonk,Grobbendonk,Grobbendonk,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,13011,Herentals,Herentals,Herentals,Herentals,true,13011,13000,Herentals,Herentals,Herentals,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,13012,Herenthout,Herenthout,Herenthout,Herenthout,true,13012,13000,Herenthout,Herenthout,Herenthout,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,13013,Herselt,Herselt,Herselt,Herselt,true,13013,13000,Herselt,Herselt,Herselt,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,13014,Hoogstraten,Hoogstraten,Hoogstraten,Hoogstraten,true,13014,13000,Hoogstraten,Hoogstraten,Hoogstraten,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,13016,Hulshout,Hulshout,Hulshout,Hulshout,true,13016,13000,Hulshout,Hulshout,Hulshout,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,13017,Kasterlee,Kasterlee,Kasterlee,Kasterlee,true,13017,13000,Kasterlee,Kasterlee,Kasterlee,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,13019,Lille,Lille,Lille,Lille,true,13019,13000,Lille,Lille,Lille,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,13021,Meerhout,Meerhout,Meerhout,Meerhout,true,13021,13000,Meerhout,Meerhout,Meerhout,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,13023,Merksplas,Merksplas,Merksplas,Merksplas,true,13023,13000,Merksplas,Merksplas,Merksplas,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,13025,Mol,Mol,Mol,Mol,true,13025,13000,Mol,Mol,Mol,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
