election_year,election_date,public_geography_id,municipality,label_french,label_dutch,label_german,refnis_match,valid_votes,blank_votes,party_list_count,language_groups,language_group_vote_totals,list_vote_sum,overcount_votes,largest_language_group,largest_language_group_votes,largest_language_group_equals_valid_votes,audit_status,method_note
2024,2024-06-09,23098,Drogenbos,Drogenbos,Drogenbos,Drogenbos,true,1921,0,28,Dutch;DutchFrench,Dutch:590;DutchFrench:1921,2511,590,DutchFrench,1921,true,blocked_language_layer_overlap,"IBZ reports more than one languageGroup block for this facility/rand municipality; summing all list rows exceeds the municipality valid-vote total, so the row stays out of the first runtime geography until a Belgium-specific language-layer method is documented."
2024,2024-06-09,23099,Kraainem,Kraainem,Kraainem,Kraainem,true,4562,0,28,Dutch;DutchFrench,Dutch:1719;DutchFrench:4562,6281,1719,DutchFrench,4562,true,blocked_language_layer_overlap,"IBZ reports more than one languageGroup block for this facility/rand municipality; summing all list rows exceeds the municipality valid-vote total, so the row stays out of the first runtime geography until a Belgium-specific language-layer method is documented."
2024,2024-06-09,23100,Linkebeek,Linkebeek,Linkebeek,Linkebeek,true,2153,0,27,Dutch;DutchFrench,Dutch:596;DutchFrench:2117,2713,560,DutchFrench,2117,false,blocked_language_layer_overlap,"IBZ reports more than one languageGroup block for this facility/rand municipality; summing all list rows exceeds the municipality valid-vote total, so the row stays out of the first runtime geography until a Belgium-specific language-layer method is documented."
2024,2024-06-09,23101,Rode-Saint-Genese,Rhode-Saint-Genèse,Sint-Genesius-Rode,Rhode-Saint-Genèse,true,6407,0,28,Dutch;DutchFrench,Dutch:3641;DutchFrench:6407,10048,3641,DutchFrench,6407,true,blocked_language_layer_overlap,"IBZ reports more than one languageGroup block for this facility/rand municipality; summing all list rows exceeds the municipality valid-vote total, so the row stays out of the first runtime geography until a Belgium-specific language-layer method is documented."
2024,2024-06-09,23102,Wemmel,Wemmel,Wemmel,Wemmel,true,4960,0,28,Dutch;DutchFrench,Dutch:4282;DutchFrench:4960,9242,4282,DutchFrench,4960,true,blocked_language_layer_overlap,"IBZ reports more than one languageGroup block for this facility/rand municipality; summing all list rows exceeds the municipality valid-vote total, so the row stays out of the first runtime geography until a Belgium-specific language-layer method is documented."
2024,2024-06-09,23103,Wezembeek-Oppem,Wezembeek-Oppem,Wezembeek-Oppem,Wezembeek-Oppem,true,5116,0,28,Dutch;DutchFrench,Dutch:2392;DutchFrench:5116,7508,2392,DutchFrench,5116,true,blocked_language_layer_overlap,"IBZ reports more than one languageGroup block for this facility/rand municipality; summing all list rows exceeds the municipality valid-vote total, so the row stays out of the first runtime geography until a Belgium-specific language-layer method is documented."
