election_year,election_date,public_geography_id,municipality,label_french,label_dutch,label_german,party,party_id,list_number,language_group,votes,valid_votes,blank_votes,share,vote_sum_reconciles,special_bucket,bridge_safe,source_scope
2024,2024-06-09,11021,Hove,Hove,Hove,Hove,Volt Europa,305966,5,Dutch,18,5917,80,0.3042,true,false,true,ibz_municipality_level
2024,2024-06-09,11021,Hove,Hove,Hove,Hove,PVDA,303048,8,Dutch,258,5917,80,4.3603,true,false,true,ibz_municipality_level
2024,2024-06-09,11021,Hove,Hove,Hove,Hove,Vooruit,305967,9,Dutch,625,5917,80,10.5628,true,false,true,ibz_municipality_level
2024,2024-06-09,11021,Hove,Hove,Hove,Hove,N-VA,303352,10,Dutch,2489,5917,80,42.0652,true,false,true,ibz_municipality_level
2024,2024-06-09,11021,Hove,Hove,Hove,Hove,GROEN,303164,15,Dutch,601,5917,80,10.1572,true,false,true,ibz_municipality_level
2024,2024-06-09,11021,Hove,Hove,Hove,Hove,CD&V,303356,16,Dutch,699,5917,80,11.8134,true,false,true,ibz_municipality_level
2024,2024-06-09,11021,Hove,Hove,Hove,Hove,Voor U,305968,17,Dutch,27,5917,80,0.4563,true,false,true,ibz_municipality_level
2024,2024-06-09,11021,Hove,Hove,Hove,Hove,DierAnimal,305916,19,Dutch,45,5917,80,0.7605,true,false,true,ibz_municipality_level
2024,2024-06-09,11021,Hove,Hove,Hove,Hove,Partij BLANCO,305969,20,Dutch,40,5917,80,0.676,true,false,true,ibz_municipality_level
2024,2024-06-09,11021,Hove,Hove,Hove,Hove,BELG.UNIE-BUB,303439,21,Dutch,5,5917,80,0.0845,true,false,true,ibz_municipality_level
2024,2024-06-09,11022,Kalmthout,Kalmthout,Kalmthout,Kalmthout,VLAAMS BELANG,305802,1,Dutch,2307,12612,343,18.2921,true,false,true,ibz_municipality_level
2024,2024-06-09,11022,Kalmthout,Kalmthout,Kalmthout,Kalmthout,open vld,305803,3,Dutch,739,12612,343,5.8595,true,false,true,ibz_municipality_level
2024,2024-06-09,11022,Kalmthout,Kalmthout,Kalmthout,Kalmthout,Volt Europa,305966,5,Dutch,37,12612,343,0.2934,true,false,true,ibz_municipality_level
2024,2024-06-09,11022,Kalmthout,Kalmthout,Kalmthout,Kalmthout,PVDA,303048,8,Dutch,592,12612,343,4.6939,true,false,true,ibz_municipality_level
2024,2024-06-09,11022,Kalmthout,Kalmthout,Kalmthout,Kalmthout,Vooruit,305967,9,Dutch,1380,12612,343,10.942,true,false,true,ibz_municipality_level
2024,2024-06-09,11022,Kalmthout,Kalmthout,Kalmthout,Kalmthout,N-VA,303352,10,Dutch,4357,12612,343,34.5465,true,false,true,ibz_municipality_level
2024,2024-06-09,11022,Kalmthout,Kalmthout,Kalmthout,Kalmthout,GROEN,303164,15,Dutch,1043,12612,343,8.2699,true,false,true,ibz_municipality_level
2024,2024-06-09,11022,Kalmthout,Kalmthout,Kalmthout,Kalmthout,CD&V,303356,16,Dutch,1889,12612,343,14.9778,true,false,true,ibz_municipality_level
2024,2024-06-09,11022,Kalmthout,Kalmthout,Kalmthout,Kalmthout,Voor U,305968,17,Dutch,84,12612,343,0.666,true,false,true,ibz_municipality_level
2024,2024-06-09,11022,Kalmthout,Kalmthout,Kalmthout,Kalmthout,DierAnimal,305916,19,Dutch,97,12612,343,0.7691,true,false,true,ibz_municipality_level
2024,2024-06-09,11022,Kalmthout,Kalmthout,Kalmthout,Kalmthout,Partij BLANCO,305969,20,Dutch,79,12612,343,0.6264,true,false,true,ibz_municipality_level
2024,2024-06-09,11022,Kalmthout,Kalmthout,Kalmthout,Kalmthout,BELG.UNIE-BUB,303439,21,Dutch,8,12612,343,0.0634,true,false,true,ibz_municipality_level
2024,2024-06-09,11023,Kapellen,Kapellen,Kapellen,Kapellen,VLAAMS BELANG,305802,1,Dutch,3866,18180,533,21.2651,true,false,true,ibz_municipality_level
2024,2024-06-09,11023,Kapellen,Kapellen,Kapellen,Kapellen,open vld,305803,3,Dutch,1724,18180,533,9.4829,true,false,true,ibz_municipality_level
2024,2024-06-09,11023,Kapellen,Kapellen,Kapellen,Kapellen,Volt Europa,305966,5,Dutch,44,18180,533,0.242,true,false,true,ibz_municipality_level
2024,2024-06-09,11023,Kapellen,Kapellen,Kapellen,Kapellen,PVDA,303048,8,Dutch,959,18180,533,5.275,true,false,true,ibz_municipality_level
2024,2024-06-09,11023,Kapellen,Kapellen,Kapellen,Kapellen,Vooruit,305967,9,Dutch,1721,18180,533,9.4664,true,false,true,ibz_municipality_level
2024,2024-06-09,11023,Kapellen,Kapellen,Kapellen,Kapellen,N-VA,303352,10,Dutch,6932,18180,533,38.1298,true,false,true,ibz_municipality_level
2024,2024-06-09,11023,Kapellen,Kapellen,Kapellen,Kapellen,GROEN,303164,15,Dutch,1187,18180,533,6.5292,true,false,true,ibz_municipality_level
2024,2024-06-09,11023,Kapellen,Kapellen,Kapellen,Kapellen,CD&V,303356,16,Dutch,1325,18180,533,7.2882,true,false,true,ibz_municipality_level
2024,2024-06-09,11023,Kapellen,Kapellen,Kapellen,Kapellen,Voor U,305968,17,Dutch,128,18180,533,0.7041,true,false,true,ibz_municipality_level
2024,2024-06-09,11023,Kapellen,Kapellen,Kapellen,Kapellen,DierAnimal,305916,19,Dutch,184,18180,533,1.0121,true,false,true,ibz_municipality_level
2024,2024-06-09,11023,Kapellen,Kapellen,Kapellen,Kapellen,Partij BLANCO,305969,20,Dutch,97,18180,533,0.5336,true,false,true,ibz_municipality_level
2024,2024-06-09,11023,Kapellen,Kapellen,Kapellen,Kapellen,BELG.UNIE-BUB,303439,21,Dutch,13,18180,533,0.0715,true,false,true,ibz_municipality_level
2024,2024-06-09,11024,Kontich,Kontich,Kontich,Kontich,VLAAMS BELANG,305802,1,Dutch,2364,14834,336,15.9364,true,false,true,ibz_municipality_level
2024,2024-06-09,11024,Kontich,Kontich,Kontich,Kontich,open vld,305803,3,Dutch,1215,14834,336,8.1906,true,false,true,ibz_municipality_level
2024,2024-06-09,11024,Kontich,Kontich,Kontich,Kontich,Volt Europa,305966,5,Dutch,40,14834,336,0.2697,true,false,true,ibz_municipality_level
2024,2024-06-09,11024,Kontich,Kontich,Kontich,Kontich,PVDA,303048,8,Dutch,915,14834,336,6.1683,true,false,true,ibz_municipality_level
2024,2024-06-09,11024,Kontich,Kontich,Kontich,Kontich,Vooruit,305967,9,Dutch,1406,14834,336,9.4782,true,false,true,ibz_municipality_level
2024,2024-06-09,11024,Kontich,Kontich,Kontich,Kontich,N-VA,303352,10,Dutch,5899,14834,336,39.7668,true,false,true,ibz_municipality_level
2024,2024-06-09,11024,Kontich,Kontich,Kontich,Kontich,GROEN,303164,15,Dutch,1131,14834,336,7.6244,true,false,true,ibz_municipality_level
2024,2024-06-09,11024,Kontich,Kontich,Kontich,Kontich,CD&V,303356,16,Dutch,1525,14834,336,10.2804,true,false,true,ibz_municipality_level
2024,2024-06-09,11024,Kontich,Kontich,Kontich,Kontich,Voor U,305968,17,Dutch,129,14834,336,0.8696,true,false,true,ibz_municipality_level
2024,2024-06-09,11024,Kontich,Kontich,Kontich,Kontich,DierAnimal,305916,19,Dutch,106,14834,336,0.7146,true,false,true,ibz_municipality_level
2024,2024-06-09,11024,Kontich,Kontich,Kontich,Kontich,Partij BLANCO,305969,20,Dutch,85,14834,336,0.573,true,false,true,ibz_municipality_level
2024,2024-06-09,11024,Kontich,Kontich,Kontich,Kontich,BELG.UNIE-BUB,303439,21,Dutch,19,14834,336,0.1281,true,false,true,ibz_municipality_level
2024,2024-06-09,11025,Lint,Lint,Lint,Lint,VLAAMS BELANG,305802,1,Dutch,1041,5909,133,17.6172,true,false,true,ibz_municipality_level
2024,2024-06-09,11025,Lint,Lint,Lint,Lint,open vld,305803,3,Dutch,384,5909,133,6.4986,true,false,true,ibz_municipality_level
2024,2024-06-09,11025,Lint,Lint,Lint,Lint,Volt Europa,305966,5,Dutch,19,5909,133,0.3215,true,false,true,ibz_municipality_level
2024,2024-06-09,11025,Lint,Lint,Lint,Lint,PVDA,303048,8,Dutch,294,5909,133,4.9755,true,false,true,ibz_municipality_level
2024,2024-06-09,11025,Lint,Lint,Lint,Lint,Vooruit,305967,9,Dutch,632,5909,133,10.6955,true,false,true,ibz_municipality_level
2024,2024-06-09,11025,Lint,Lint,Lint,Lint,N-VA,303352,10,Dutch,2241,5909,133,37.9252,true,false,true,ibz_municipality_level
2024,2024-06-09,11025,Lint,Lint,Lint,Lint,GROEN,303164,15,Dutch,512,5909,133,8.6647,true,false,true,ibz_municipality_level
2024,2024-06-09,11025,Lint,Lint,Lint,Lint,CD&V,303356,16,Dutch,663,5909,133,11.2202,true,false,true,ibz_municipality_level
2024,2024-06-09,11025,Lint,Lint,Lint,Lint,Voor U,305968,17,Dutch,39,5909,133,0.66,true,false,true,ibz_municipality_level
2024,2024-06-09,11025,Lint,Lint,Lint,Lint,DierAnimal,305916,19,Dutch,40,5909,133,0.6769,true,false,true,ibz_municipality_level
2024,2024-06-09,11025,Lint,Lint,Lint,Lint,Partij BLANCO,305969,20,Dutch,40,5909,133,0.6769,true,false,true,ibz_municipality_level
2024,2024-06-09,11025,Lint,Lint,Lint,Lint,BELG.UNIE-BUB,303439,21,Dutch,4,5909,133,0.0677,true,false,true,ibz_municipality_level
