election_year,public_geography_id,municipality,label_french,label_dutch,label_german,valid_votes,blank_votes,list_vote_sum,party_list_count,vote_sum_reconciles,special_bucket,duplicate_nis_code,audit_status
2024,13021,Meerhout,Meerhout,Meerhout,Meerhout,7140,327,7140,12,true,false,false,bridge_safe
2024,13023,Merksplas,Merksplas,Merksplas,Merksplas,5783,213,5783,12,true,false,false,bridge_safe
2024,13025,Mol,Mol,Mol,Mol,24701,1031,24701,12,true,false,false,bridge_safe
2024,13029,Olen,Olen,Olen,Olen,8831,424,8831,12,true,false,false,bridge_safe
2024,13031,Oud-Turnhout,Oud-Turnhout,Oud-Turnhout,Oud-Turnhout,9210,289,9210,12,true,false,false,bridge_safe
2024,13035,Ravels,Ravels,Ravels,Ravels,7304,332,7304,12,true,false,false,bridge_safe
2024,13036,Retie,Retie,Retie,Retie,7649,294,7649,12,true,false,false,bridge_safe
2024,13037,Rijkevorsel,Rijkevorsel,Rijkevorsel,Rijkevorsel,7908,325,7908,12,true,false,false,bridge_safe
2024,13040,Turnhout,Turnhout,Turnhout,Turnhout,26354,1090,26354,12,true,false,false,bridge_safe
2024,13044,Vorselaar,Vorselaar,Vorselaar,Vorselaar,5725,187,5725,12,true,false,false,bridge_safe
2024,13046,Vosselaar,Vosselaar,Vosselaar,Vosselaar,8056,273,8056,12,true,false,false,bridge_safe
2024,13049,Westerlo,Westerlo,Westerlo,Westerlo,17895,757,17895,12,true,false,false,bridge_safe
2024,13053,Laakdal,Laakdal,Laakdal,Laakdal,11613,532,11613,12,true,false,false,bridge_safe
2024,21001,Anderlecht,Anderlecht,Anderlecht,Anderlecht,45136,3523,45136,17,true,false,false,bridge_safe
2024,21002,Auderghem,Auderghem,Oudergem,Auderghem,16193,761,16193,17,true,false,false,bridge_safe
2024,21003,Berchem-Sainte-Agathe,Berchem-Sainte-Agathe,Sint-Agatha-Berchem,Berchem-Sainte-Agathe,11895,814,11895,17,true,false,false,bridge_safe
2024,21004,Bruxelles,Bruxelles,Brussel,Brüssel,68034,4915,68034,17,true,false,false,bridge_safe
2024,21005,Etterbeek,Etterbeek,Etterbeek,Etterbeek,16610,952,16610,17,true,false,false,bridge_safe
2024,21006,Evere,Evere,Evere,Evere,17927,1400,17927,17,true,false,false,bridge_safe
2024,21007,Forest,Forest,Vorst,Forest,22679,1281,22679,17,true,false,false,bridge_safe
2024,21008,Ganshoren,Ganshoren,Ganshoren,Ganshoren,11387,819,11387,17,true,false,false,bridge_safe
2024,21009,Ixelles,Ixelles,Elsene,Ixelles,29393,1333,29393,17,true,false,false,bridge_safe
2024,21010,Jette,Jette,Jette,Jette,23644,1791,23644,17,true,false,false,bridge_safe
2024,21011,Koekelberg,Koekelberg,Koekelberg,Koekelberg,8455,571,8455,17,true,false,false,bridge_safe
2024,21012,Molenbeek-Saint-Jean,Molenbeek-Saint-Jean,Sint-Jans-Molenbeek,Molenbeek-Saint-Jean,36655,2878,36655,17,true,false,false,bridge_safe
