election_year,election_date,bridge_geography_year,public_geography_id,municipality,source_municipality_count,source_geography_ids,merge_group,bridge_status,party,party_ids,votes,valid_votes,blank_votes,share,source_scope,method_note
2024,2024-06-09,2025,11002,Antwerpen,2,11002;11007,antwerpen_borsbeek,merged_2024_sources_to_2025_target,PVDA,303048,62429,281840,12118,22.1505,ibz_2024_bridge_safe_rows_forward_to_statbel_2025_geography,2024 bridge-safe election rows aggregated forward to verified Statbel 2025 municipality targets; E5 special buckets and six facility/rand vote-sum mismatch rows remain excluded.
2024,2024-06-09,2025,11002,Antwerpen,2,11002;11007,antwerpen_borsbeek,merged_2024_sources_to_2025_target,Partij BLANCO,305969,1488,281840,12118,0.528,ibz_2024_bridge_safe_rows_forward_to_statbel_2025_geography,2024 bridge-safe election rows aggregated forward to verified Statbel 2025 municipality targets; E5 special buckets and six facility/rand vote-sum mismatch rows remain excluded.
2024,2024-06-09,2025,11002,Antwerpen,2,11002;11007,antwerpen_borsbeek,merged_2024_sources_to_2025_target,VLAAMS BELANG,305802,41262,281840,12118,14.6402,ibz_2024_bridge_safe_rows_forward_to_statbel_2025_geography,2024 bridge-safe election rows aggregated forward to verified Statbel 2025 municipality targets; E5 special buckets and six facility/rand vote-sum mismatch rows remain excluded.
2024,2024-06-09,2025,11002,Antwerpen,2,11002;11007,antwerpen_borsbeek,merged_2024_sources_to_2025_target,Volt Europa,305966,1358,281840,12118,0.4818,ibz_2024_bridge_safe_rows_forward_to_statbel_2025_geography,2024 bridge-safe election rows aggregated forward to verified Statbel 2025 municipality targets; E5 special buckets and six facility/rand vote-sum mismatch rows remain excluded.
2024,2024-06-09,2025,11002,Antwerpen,2,11002;11007,antwerpen_borsbeek,merged_2024_sources_to_2025_target,Voor U,305968,1584,281840,12118,0.562,ibz_2024_bridge_safe_rows_forward_to_statbel_2025_geography,2024 bridge-safe election rows aggregated forward to verified Statbel 2025 municipality targets; E5 special buckets and six facility/rand vote-sum mismatch rows remain excluded.
2024,2024-06-09,2025,11002,Antwerpen,2,11002;11007,antwerpen_borsbeek,merged_2024_sources_to_2025_target,Vooruit,305967,30427,281840,12118,10.7958,ibz_2024_bridge_safe_rows_forward_to_statbel_2025_geography,2024 bridge-safe election rows aggregated forward to verified Statbel 2025 municipality targets; E5 special buckets and six facility/rand vote-sum mismatch rows remain excluded.
2024,2024-06-09,2025,11002,Antwerpen,2,11002;11007,antwerpen_borsbeek,merged_2024_sources_to_2025_target,open vld,305803,14809,281840,12118,5.2544,ibz_2024_bridge_safe_rows_forward_to_statbel_2025_geography,2024 bridge-safe election rows aggregated forward to verified Statbel 2025 municipality targets; E5 special buckets and six facility/rand vote-sum mismatch rows remain excluded.
2024,2024-06-09,2025,11004,Boechout,1,11004,identity_2024_to_2025,identity_2024_to_2025,BELG.UNIE-BUB,303439,7,9495,237,0.0737,ibz_2024_bridge_safe_rows_forward_to_statbel_2025_geography,2024 bridge-safe election rows aggregated forward to verified Statbel 2025 municipality targets; E5 special buckets and six facility/rand vote-sum mismatch rows remain excluded.
2024,2024-06-09,2025,11004,Boechout,1,11004,identity_2024_to_2025,identity_2024_to_2025,CD&V,303356,945,9495,237,9.9526,ibz_2024_bridge_safe_rows_forward_to_statbel_2025_geography,2024 bridge-safe election rows aggregated forward to verified Statbel 2025 municipality targets; E5 special buckets and six facility/rand vote-sum mismatch rows remain excluded.
2024,2024-06-09,2025,11004,Boechout,1,11004,identity_2024_to_2025,identity_2024_to_2025,DierAnimal,305916,63,9495,237,0.6635,ibz_2024_bridge_safe_rows_forward_to_statbel_2025_geography,2024 bridge-safe election rows aggregated forward to verified Statbel 2025 municipality targets; E5 special buckets and six facility/rand vote-sum mismatch rows remain excluded.
2024,2024-06-09,2025,11004,Boechout,1,11004,identity_2024_to_2025,identity_2024_to_2025,GROEN,303164,1015,9495,237,10.6898,ibz_2024_bridge_safe_rows_forward_to_statbel_2025_geography,2024 bridge-safe election rows aggregated forward to verified Statbel 2025 municipality targets; E5 special buckets and six facility/rand vote-sum mismatch rows remain excluded.
2024,2024-06-09,2025,11004,Boechout,1,11004,identity_2024_to_2025,identity_2024_to_2025,N-VA,303352,3746,9495,237,39.4523,ibz_2024_bridge_safe_rows_forward_to_statbel_2025_geography,2024 bridge-safe election rows aggregated forward to verified Statbel 2025 municipality targets; E5 special buckets and six facility/rand vote-sum mismatch rows remain excluded.
2024,2024-06-09,2025,11004,Boechout,1,11004,identity_2024_to_2025,identity_2024_to_2025,PVDA,303048,525,9495,237,5.5292,ibz_2024_bridge_safe_rows_forward_to_statbel_2025_geography,2024 bridge-safe election rows aggregated forward to verified Statbel 2025 municipality targets; E5 special buckets and six facility/rand vote-sum mismatch rows remain excluded.
2024,2024-06-09,2025,11004,Boechout,1,11004,identity_2024_to_2025,identity_2024_to_2025,Partij BLANCO,305969,48,9495,237,0.5055,ibz_2024_bridge_safe_rows_forward_to_statbel_2025_geography,2024 bridge-safe election rows aggregated forward to verified Statbel 2025 municipality targets; E5 special buckets and six facility/rand vote-sum mismatch rows remain excluded.
2024,2024-06-09,2025,11004,Boechout,1,11004,identity_2024_to_2025,identity_2024_to_2025,VLAAMS BELANG,305802,1478,9495,237,15.5661,ibz_2024_bridge_safe_rows_forward_to_statbel_2025_geography,2024 bridge-safe election rows aggregated forward to verified Statbel 2025 municipality targets; E5 special buckets and six facility/rand vote-sum mismatch rows remain excluded.
2024,2024-06-09,2025,11004,Boechout,1,11004,identity_2024_to_2025,identity_2024_to_2025,Volt Europa,305966,35,9495,237,0.3686,ibz_2024_bridge_safe_rows_forward_to_statbel_2025_geography,2024 bridge-safe election rows aggregated forward to verified Statbel 2025 municipality targets; E5 special buckets and six facility/rand vote-sum mismatch rows remain excluded.
2024,2024-06-09,2025,11004,Boechout,1,11004,identity_2024_to_2025,identity_2024_to_2025,Voor U,305968,57,9495,237,0.6003,ibz_2024_bridge_safe_rows_forward_to_statbel_2025_geography,2024 bridge-safe election rows aggregated forward to verified Statbel 2025 municipality targets; E5 special buckets and six facility/rand vote-sum mismatch rows remain excluded.
2024,2024-06-09,2025,11004,Boechout,1,11004,identity_2024_to_2025,identity_2024_to_2025,Vooruit,305967,927,9495,237,9.763,ibz_2024_bridge_safe_rows_forward_to_statbel_2025_geography,2024 bridge-safe election rows aggregated forward to verified Statbel 2025 municipality targets; E5 special buckets and six facility/rand vote-sum mismatch rows remain excluded.
2024,2024-06-09,2025,11004,Boechout,1,11004,identity_2024_to_2025,identity_2024_to_2025,open vld,305803,649,9495,237,6.8352,ibz_2024_bridge_safe_rows_forward_to_statbel_2025_geography,2024 bridge-safe election rows aggregated forward to verified Statbel 2025 municipality targets; E5 special buckets and six facility/rand vote-sum mismatch rows remain excluded.
2024,2024-06-09,2025,11005,Boom,1,11005,identity_2024_to_2025,identity_2024_to_2025,BELG.UNIE-BUB,303439,19,11018,566,0.1724,ibz_2024_bridge_safe_rows_forward_to_statbel_2025_geography,2024 bridge-safe election rows aggregated forward to verified Statbel 2025 municipality targets; E5 special buckets and six facility/rand vote-sum mismatch rows remain excluded.
2024,2024-06-09,2025,11005,Boom,1,11005,identity_2024_to_2025,identity_2024_to_2025,CD&V,303356,914,11018,566,8.2955,ibz_2024_bridge_safe_rows_forward_to_statbel_2025_geography,2024 bridge-safe election rows aggregated forward to verified Statbel 2025 municipality targets; E5 special buckets and six facility/rand vote-sum mismatch rows remain excluded.
2024,2024-06-09,2025,11005,Boom,1,11005,identity_2024_to_2025,identity_2024_to_2025,DierAnimal,305916,108,11018,566,0.9802,ibz_2024_bridge_safe_rows_forward_to_statbel_2025_geography,2024 bridge-safe election rows aggregated forward to verified Statbel 2025 municipality targets; E5 special buckets and six facility/rand vote-sum mismatch rows remain excluded.
2024,2024-06-09,2025,11005,Boom,1,11005,identity_2024_to_2025,identity_2024_to_2025,GROEN,303164,682,11018,566,6.1899,ibz_2024_bridge_safe_rows_forward_to_statbel_2025_geography,2024 bridge-safe election rows aggregated forward to verified Statbel 2025 municipality targets; E5 special buckets and six facility/rand vote-sum mismatch rows remain excluded.
2024,2024-06-09,2025,11005,Boom,1,11005,identity_2024_to_2025,identity_2024_to_2025,N-VA,303352,2730,11018,566,24.7776,ibz_2024_bridge_safe_rows_forward_to_statbel_2025_geography,2024 bridge-safe election rows aggregated forward to verified Statbel 2025 municipality targets; E5 special buckets and six facility/rand vote-sum mismatch rows remain excluded.
2024,2024-06-09,2025,11005,Boom,1,11005,identity_2024_to_2025,identity_2024_to_2025,PVDA,303048,1898,11018,566,17.2264,ibz_2024_bridge_safe_rows_forward_to_statbel_2025_geography,2024 bridge-safe election rows aggregated forward to verified Statbel 2025 municipality targets; E5 special buckets and six facility/rand vote-sum mismatch rows remain excluded.
2024,2024-06-09,2025,11005,Boom,1,11005,identity_2024_to_2025,identity_2024_to_2025,Partij BLANCO,305969,72,11018,566,0.6535,ibz_2024_bridge_safe_rows_forward_to_statbel_2025_geography,2024 bridge-safe election rows aggregated forward to verified Statbel 2025 municipality targets; E5 special buckets and six facility/rand vote-sum mismatch rows remain excluded.
2024,2024-06-09,2025,11005,Boom,1,11005,identity_2024_to_2025,identity_2024_to_2025,VLAAMS BELANG,305802,2484,11018,566,22.5449,ibz_2024_bridge_safe_rows_forward_to_statbel_2025_geography,2024 bridge-safe election rows aggregated forward to verified Statbel 2025 municipality targets; E5 special buckets and six facility/rand vote-sum mismatch rows remain excluded.
2024,2024-06-09,2025,11005,Boom,1,11005,identity_2024_to_2025,identity_2024_to_2025,Volt Europa,305966,39,11018,566,0.354,ibz_2024_bridge_safe_rows_forward_to_statbel_2025_geography,2024 bridge-safe election rows aggregated forward to verified Statbel 2025 municipality targets; E5 special buckets and six facility/rand vote-sum mismatch rows remain excluded.
2024,2024-06-09,2025,11005,Boom,1,11005,identity_2024_to_2025,identity_2024_to_2025,Voor U,305968,69,11018,566,0.6262,ibz_2024_bridge_safe_rows_forward_to_statbel_2025_geography,2024 bridge-safe election rows aggregated forward to verified Statbel 2025 municipality targets; E5 special buckets and six facility/rand vote-sum mismatch rows remain excluded.
2024,2024-06-09,2025,11005,Boom,1,11005,identity_2024_to_2025,identity_2024_to_2025,Vooruit,305967,1538,11018,566,13.959,ibz_2024_bridge_safe_rows_forward_to_statbel_2025_geography,2024 bridge-safe election rows aggregated forward to verified Statbel 2025 municipality targets; E5 special buckets and six facility/rand vote-sum mismatch rows remain excluded.
2024,2024-06-09,2025,11005,Boom,1,11005,identity_2024_to_2025,identity_2024_to_2025,open vld,305803,465,11018,566,4.2204,ibz_2024_bridge_safe_rows_forward_to_statbel_2025_geography,2024 bridge-safe election rows aggregated forward to verified Statbel 2025 municipality targets; E5 special buckets and six facility/rand vote-sum mismatch rows remain excluded.
